Final_ell_b, Final_Db, Final_sDb
4.031645569620253156e+01,1.251939233087101911e+03,6.015461383335611600e+01
6.480620155038759833e+01,1.787153578695496208e+03,6.999332503547677220e+01
9.012500000000000000e+01,2.357358750976804458e+03,7.835965021304464528e+01
1.144541484716157385e+02,3.240121968848515280e+03,9.684618384034152427e+01
1.393727598566308075e+02,4.003527177696833860e+03,1.086927716961301087e+02
1.643161094224923886e+02,4.835202666402608884e+03,1.210698047530828347e+02
1.897960526315789309e+02,5.359144836548404783e+03,1.244587735594062536e+02
2.147616279069767415e+02,5.794529039733531135e+03,1.266510145115172890e+02
2.392171189979123653e+02,5.652351425182713683e+03,1.175423146100569056e+02
2.647122641509433834e+02,5.116034982259449862e+03,1.008831299429742643e+02
2.891796200345423244e+02,4.457066584320253241e+03,8.436262488727989250e+01
3.141653418124006976e+02,3.570308144294442627e+03,6.485862604887557836e+01
3.391531664212076862e+02,2.781361670847175901e+03,4.864996307075071513e+01
3.641426611796982229e+02,2.215147363363349996e+03,3.740849675203537572e+01
3.891335044929396645e+02,1.847105031778693501e+03,3.019061735469067287e+01
4.141254523522316049e+02,1.713386240196044355e+03,2.715587733461372366e+01
4.391183162684869217e+02,1.829831835949257311e+03,2.816591881188352176e+01
4.641119483315392813e+02,2.157518096112492458e+03,3.230304651226577306e+01
4.891062308478038858e+02,2.351274455172150283e+03,3.429767351736304448e+01
5.141010689990281435e+02,2.569642634173630540e+03,3.656119274879122827e+01
5.390963855421687185e+02,2.521048800201716858e+03,3.503917874286130996e+01
5.640921169176261856e+02,2.527569697225954314e+03,3.434888618634930424e+01
5.890882103477523515e+02,2.342240029231349581e+03,3.115995277760587712e+01
6.140846216436126497e+02,2.102551957251562271e+03,2.741314393243629510e+01
6.390813135261923890e+02,1.900223386062198870e+03,2.430439001758290374e+01
6.640782543265613640e+02,1.829978060115949802e+03,2.296983299726291605e+01
6.890754169688179900e+02,1.815537872081683190e+03,2.237771346437449083e+01
7.140727781665500515e+02,1.938383352978954463e+03,2.347289231623452466e+01
7.390703177822853149e+02,2.135037311016055810e+03,2.541438326114371193e+01
7.640680183126225984e+02,2.309268393244884464e+03,2.703869944302048012e+01
7.890658644711841134e+02,2.433583361476352366e+03,2.804647325998103469e+01
8.140638428483731559e+02,2.527395444227870939e+03,2.868464004512823706e+01
8.390619416319235597e+02,2.494751969226639176e+03,2.790050590947678799e+01
8.640601503759396564e+02,2.320145853669773260e+03,2.558963602289325578e+01
8.890584598088812527e+02,2.033408403611189215e+03,2.213682749280851425e+01
9.140568616730452050e+02,1.746023318155323977e+03,1.878858748432863379e+01
9.390553485896751909e+02,1.475838106616854930e+03,1.570751500409222601e+01
9.640539139450490893e+02,1.261535305947991901e+03,1.329185027234479755e+01
9.895568181818180165e+02,1.109596217412462238e+03,1.157726135627473951e+01
1.014051256776737318e+03,1.066958678617090300e+03,1.103159243225445074e+01
1.039050024050024149e+03,1.070235828603178788e+03,1.094611727572731752e+01
1.064048849224988317e+03,1.148115686227731203e+03,1.160818532073455422e+01
1.089047728315741097e+03,1.222894455666449176e+03,1.222650234563417904e+01
1.114046657694033229e+03,1.239510218434880926e+03,1.227211519521550365e+01
1.139045634050022045e+03,1.244652405321077822e+03,1.220673119656614070e+01
1.164044654358093567e+03,1.202533614286562624e+03,1.170710364983050944e+01
1.189043715846994473e+03,1.125363327649025905e+03,1.088432877911749053e+01
1.214546296296296305e+03,1.002678362319939538e+03,9.660767799927560517e+00
1.239041952400161563e+03,9.053734175524519969e+02,8.716033500839778014e+00
1.264041122973507527e+03,8.109534346520604231e+02,7.815747945560215904e+00
1.289040325707638885e+03,7.730472349834749366e+02,7.439645135454856728e+00
1.314039558767592325e+03,7.495892425504168841e+02,7.203762410359265900e+00
1.339038820455393989e+03,7.695704050896958961e+02,7.350318954013826733e+00
1.364038109197508447e+03,7.969577779715912129e+02,7.562836031705937323e+00
1.389037423533645324e+03,8.260714527210192273e+02,7.787513185386531589e+00
1.414036762106751667e+03,8.454531396661355984e+02,7.949638700278005565e+00
1.439036123654046605e+03,8.298157046715331262e+02,7.806990229296703276e+00
1.464035506998975961e+03,8.004115291262319261e+02,7.541690549548966338e+00
1.489034911043974489e+03,7.606157922814278436e+02,7.222448986480483057e+00
1.514034334763948436e+03,6.823511446023367171e+02,6.580797687892280479e+00
1.539033777200389750e+03,6.086702628856888850e+02,5.992340561902868679e+00
1.564033237456056213e+03,5.367989901488165287e+02,5.461426558649786323e+00
1.589032714690154080e+03,4.871327338615358258e+02,5.107224047913033083e+00
1.614032208113967272e+03,4.495104909846322130e+02,4.857078811833135390e+00
1.639031716986886295e+03,4.404509740513685188e+02,4.847485002978700663e+00
1.664031240612796637e+03,4.397958303416660897e+02,4.944537421775316410e+00
1.689030778336785943e+03,4.359313114293145759e+02,4.983091792023577327e+00
1.714030329542140635e+03,4.457590183447034633e+02,5.131553969466532195e+00
1.739029893647599920e+03,4.413788789716159613e+02,5.223131397199641590e+00
1.764029470104845586e+03,4.282058641521895197e+02,5.228744708857335333e+00
1.789029058396200071e+03,4.197790591531586415e+02,5.297962147416573231e+00
1.814530991735537100e+03,3.948587896013305567e+02,5.290803877934249222e+00
1.839028268551237034e+03,3.589070055496991927e+02,5.209255224245345595e+00
1.864027889514615481e+03,3.448222215148645660e+02,5.286519172722901061e+00
1.889027520508071348e+03,3.194125896377293543e+02,5.235124661048542016e+00
1.914027161138678821e+03,3.099270166436299974e+02,5.423632912151536978e+00
1.939026811033771992e+03,3.007887234052432746e+02,5.605080706176178929e+00
1.964026469839654283e+03,2.948507743139009563e+02,5.854671600397846731e+00
1.989026137220407463e+03,2.980634556571071698e+02,6.095150593109621262e+00
